path,kind,language_or_server,runtime_referenced,references,generated,source_of_truth,unique_content,planned_action,replacement_path,risk,status
.github/workflows/en-only-audit-export.yml,build_or_deploy,CN/TW+JP+TW,no,CN; cn; JP; jp; TW; tw; AzurStats; azurstats,no,,n/a,remove_service_integration,,medium,inventoried
.github/workflows/en-only-final2.yml,build_or_deploy,CN/TW+JP+TW,no,CN; cn; JP; jp; TW; tw; AzurStats; azurstats,no,,n/a,remove_service_integration,,medium,inventoried
.github/workflows/en-only-finalize.yml,build_or_deploy,CN/TW+JP+TW,no,CN; cn; JP; jp; TW; tw; AzurStats; azurstats,no,,n/a,remove_service_integration,,medium,inventoried
.github/workflows/en-only-resume.yml,build_or_deploy,CN/TW+JP+TW,no,CN; cn; JP; jp; TW; tw; AzurStats; azurstats,no,,n/a,remove_service_integration,,medium,inventoried
README.md,documentation,CN/TW+JP+TW,no,CN; cn; 简体中文; JP; jp; 日本語; TW; tw; AzurStats; azurstats; azur-stats.lyoko.io,no,,pending_review,remove_service_integration,,medium,inventoried
README_en.md,documentation,CN/TW+JP+TW,no,CN; cn; 简体中文; JP; jp; 日本語; TW; tw; AzurStats; azurstats; azur-stats.lyoko.io,no,,pending_review,remove_service_integration,,medium,inventoried
README_jp.md,documentation,CN/TW+JP+TW,no,CN; cn; JP; jp; 日本語; TW; tw; AzurStats; azurstats; azur-stats.lyoko.io,no,,pending_review,remove_service_integration,,medium,inventoried
alas.py,runtime,TW,yes,TW; tw,no,,n/a,simplify_to_EN,,high,inventoried
assets/gui/css/alas.css,asset,TW,unknown,TW; tw,no,,n/a,review,,high,inventoried
assets/gui/css/dark-alas.css,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,no,,n/a,review,,high,inventoried
assets/gui/css/light-alas.css,asset,CN/TW+JP+TW,unknown,CN; cn; JP; jp; TW; tw,no,,n/a,review,,high,inventoried
bin/cnocr_models/jp/cnocr-v1.2.0-densenet-lite-gru-symbol.json,other,JP,no,,no,,n/a,review,,medium,inventoried
bin/cnocr_models/jp/label_cn.txt,other,JP,no,,no,,n/a,review,,medium,inventoried
bin/cnocr_models/tw/cnocr-v1.2.0-densenet-lite-gru-symbol.json,other,TW,no,,no,,n/a,review,,medium,inventoried
bin/cnocr_models/tw/label_cn.txt,other,TW,no,,no,,n/a,review,,medium,inventoried
campaign/Readme.md,documentation,CN/TW+JP+TW,no,CN; cn; JP; jp; TW; tw,no,,pending_review,review,,medium,inventoried
campaign/campaign_main/campaign_15_base.py,campaign,TW,yes,TW; tw,no,,n/a,review,,high,inventoried
campaign/event_20200312_cn/sp3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200326_cn/a2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200326_cn/a3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200326_cn/b1.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200326_cn/b2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200326_cn/b3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200423_cn/a2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200423_cn/a3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200423_cn/b2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200423_cn/b3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200423_cn/c2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200423_cn/c3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200423_cn/d2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200423_cn/d3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200507_cn/sp2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200507_cn/sp3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200521_cn/a2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200521_cn/a3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200521_cn/b2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200521_cn/b3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200521_cn/c2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200521_cn/c3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200521_cn/d2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20200521_cn/d3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20201029_cn/campaign_base.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20201126_cn/campaign_base.py,campaign,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,review,,high,inventoried
campaign/event_20210722_cn/campaign_base.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20230817_cn/campaign_base.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20240521_cn/a1.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20240521_cn/b2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20240521_cn/b3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20240521_cn/c1.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20240521_cn/d2.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20240521_cn/d3.py,campaign,CN/TW,yes,CN; cn,no,,n/a,review,,high,inventoried
campaign/event_20240912_cn/campaign_base.py,campaign,CN/TW+TW,yes,CN; cn; TW; tw,no,,n/a,review,,high,inventoried
campaign/event_20260417_cn/campaign_base.py,campaign,TW,yes,TW; tw,no,,n/a,review,,high,inventoried
config/deploy.template-AidLux-cn.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,delete,,high,inventoried
config/deploy.template-AidLux.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,simplify_to_EN,,high,inventoried
config/deploy.template-cn.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,delete,,high,inventoried
config/deploy.template-docker-cn.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,delete,,high,inventoried
config/deploy.template-docker.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,simplify_to_EN,,high,inventoried
config/deploy.template-linux-cn.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,delete,,high,inventoried
config/deploy.template-linux.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,simplify_to_EN,,high,inventoried
config/deploy.template.yaml,config,CN/TW+JP+TW,yes,CN; cn; zh-CN; zh-TW; Chinese; JP; jp; ja-JP; Japanese; TW; tw,no,,n/a,simplify_to_EN,,high,inventoried
